Player,height,weight,collage,born,G,MP,FG,FGA,FT,FTA,3P,3PA,2P,2PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ricky Berry,203,92,San Jose State University,1964,64,1406,255,567,131,166,65,160,190,407,57,140,197,80,37,22,82,197,706
Ricky Blanton,201,97,Louisiana State University,1966,2,13,3,7,0,0,0,0,3,7,2,1,3,1,2,0,1,1,6
Ricky Davis,198,88,University of Iowa,1979,893,27608,4777,10664,2306,2967,708,1996,4069,8668,708,2551,3259,3079,919,226,2008,1791,12568
Ricky Grace,185,81,University of Oklahoma,1967,3,8,2,3,0,2,0,0,2,3,0,1,1,1,0,0,0,3,4
Ricky Ledo,201,88,NaN,1992,45,521,70,209,36,48,23,62,47,147,32,42,74,40,13,2,54,44,199
Ricky Pierce,193,92,Rice University,1959,999,25537,5890,11920,3791,4292,383,1115,5507,10805,893,1545,2438,2000,821,152,1569,2295,15954
Ricky Rubio,193,87,NaN,1990,353,11217,1137,3028,1141,1374,238,756,899,2272,253,1245,1498,2991,747,45,976,920,3653
Ricky Sobers,190,89,"University of Nevada, Las Vegas",1953,149,2769,520,1169,242,287,21,71,499,1098,56,146,202,432,93,11,243,295,1303
Ricky Wilson,196,90,University of Louisville,1956,48,840,86,220,58,80,20,52,66,168,4,50,54,138,46,6,50,80,250
Rik Smits,224,113,Marist College,1966,867,23100,5301,10461,2266,2932,3,26,5298,10435,1531,3746,5277,1215,372,1111,1579,3011,12871
Rob Kurz,206,105,University of Notre Dame,1985,40,442,51,131,40,50,15,38,36,93,33,48,81,20,14,19,16,78,157
Rob Lock,206,102,University of Kentucky,1966,20,110,9,32,12,15,0,0,9,32,14,18,32,4,3,4,13,15,30
Rob Rose,196,81,George Mason University,1964,2,3,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0
Robbie Hummel,203,97,Purdue University,1989,98,1397,146,349,39,45,48,140,98,209,66,200,266,50,32,11,28,143,379
Robert Archibald,211,113,University of Illinois at Urbana-Champaign,1980,76,584,24,86,35,80,0,0,24,86,48,73,121,29,28,9,27,109,83
Robert Churchwell,198,88,Georgetown University,1972,4,20,3,8,0,0,0,0,3,8,0,3,3,1,0,0,2,1,6
Robert Covington,206,97,Tennessee State University,1990,211,6012,871,2214,461,568,478,1351,393,863,224,952,1176,304,331,140,403,627,2681
Robert Hite,188,83,University of Miami,1984,12,136,19,60,8,12,5,23,14,37,4,12,16,8,3,2,6,8,51
Robert Horry,206,99,University of Alabama,1970,1161,28464,2977,7003,1340,1852,844,2483,2133,4520,1712,3794,5506,2453,1224,1090,1450,2833,8138
Robert Pack,188,81,University of Southern California,1969,606,13244,2011,4783,1525,1932,145,502,1866,4281,289,969,1258,3008,699,49,1537,1180,5692
Robert Parish*,213,104,Centenary College of Louisiana,1953,984,27663,5286,9648,2342,3186,0,3,5286,9645,2638,5828,8466,1210,644,1142,1743,2312,12914
Robert Reid,203,92,St. Mary's University,1955,530,12087,2177,5013,696,948,110,361,2067,4652,385,1216,1601,1120,371,119,541,1321,5160
Robert Sacre,213,122,Gonzaga University,1989,189,2745,318,729,151,225,0,1,318,728,212,381,593,126,56,110,102,336,787
Robert Smith,180,74,"University of Nevada, Las Vegas",1955,7,48,4,17,8,10,0,4,4,13,0,4,4,7,2,0,3,6,16
Robert Swift,213,111,NaN,1985,97,1500,172,340,72,118,0,0,172,340,122,254,376,20,26,86,71,224,416
Robert Traylor,203,128,University of Michigan,1977,438,6243,841,1774,399,691,4,24,837,1750,671,969,1640,312,280,306,400,1079,2085
Robert Werdann,211,113,St. John's University,1970,47,273,37,98,27,47,0,1,37,97,31,50,81,9,13,8,20,65,101
Robert Whaley,208,117,Walsh University,1982,23,212,23,57,3,6,0,0,23,57,16,27,43,17,7,8,14,41,49
Robin Lopez,213,115,Stanford University,1988,628,14353,2257,4291,969,1274,0,6,2257,4285,1581,1887,3468,429,164,796,650,1303,5483
Rod Foster,185,72,"University of California, Los Angeles",1960,127,2022,371,854,106,142,50,158,321,696,36,102,138,307,83,1,178,248,898
Rod Higgins,201,90,"California State University, Fresno",1960,649,13748,2016,4312,1390,1702,339,976,1677,3336,714,1584,2298,987,379,276,596,1352,5761
